python train_mvcnn.py -name mvcnn -num_models 1000 -weight_decay 0.001 -num_views 12 -cnn_name vgg11
pretraining:  True
WARNING: summary folder already exists!! It will be overwritten!!
WARNING: summary folder already exists!! It will be overwritten!!
num_train_files: 7932
num_val_files: 3324
epoch 1, step 1: train_loss 2.10210; train_acc 0.00000
epoch 1, step 2: train_loss 2.34682; train_acc 0.00000
epoch 1, step 3: train_loss 2.24843; train_acc 0.00000
epoch 1, step 4: train_loss 2.34203; train_acc 0.12500
epoch 1, step 5: train_loss 2.26729; train_acc 0.25000
epoch 1, step 6: train_loss 2.43429; train_acc 0.12500
epoch 1, step 7: train_loss 2.03238; train_acc 0.25000
epoch 1, step 8: train_loss 1.84738; train_acc 0.37500
epoch 1, step 9: train_loss 2.00516; train_acc 0.12500
epoch 1, step 10: train_loss 2.13945; train_acc 0.12500
epoch 1, step 11: train_loss 2.36033; train_acc 0.12500
epoch 1, step 12: train_loss 2.37831; train_acc 0.00000
epoch 1, step 13: train_loss 2.38734; train_acc 0.12500
epoch 1, step 14: train_loss 1.88740; train_acc 0.25000
epoch 1, step 15: train_loss 1.75108; train_acc 0.37500
epoch 1, step 16: train_loss 2.09370; train_acc 0.12500
epoch 1, step 17: train_loss 2.06560; train_acc 0.12500
epoch 1, step 18: train_loss 2.52621; train_acc 0.12500
epoch 1, step 19: train_loss 2.23991; train_acc 0.00000
epoch 1, step 20: train_loss 1.92765; train_acc 0.37500
epoch 1, step 21: train_loss 2.22458; train_acc 0.25000
epoch 1, step 22: train_loss 1.99498; train_acc 0.37500
epoch 1, step 23: train_loss 1.85880; train_acc 0.37500
epoch 1, step 24: train_loss 1.99143; train_acc 0.12500
epoch 1, step 25: train_loss 1.99803; train_acc 0.37500
epoch 1, step 26: train_loss 1.84438; train_acc 0.37500
epoch 1, step 27: train_loss 2.04942; train_acc 0.25000
epoch 1, step 28: train_loss 1.83146; train_acc 0.50000
epoch 1, step 29: train_loss 1.96759; train_acc 0.37500
epoch 1, step 30: train_loss 1.76035; train_acc 0.12500
epoch 1, step 31: train_loss 2.17702; train_acc 0.00000
