 python train_mvcnn.py -name mvcnn -num_models 1000 -weight_decay 0.001 -num_views 12 -cnn_name vgg11
pretraining:  True
WARNING: summary folder already exists!! It will be overwritten!!
WARNING: summary folder already exists!! It will be overwritten!!
num_train_files: 7932
num_val_files: 3324
epoch 1, step 1: train_loss 2.12266; train_acc 0.25000
epoch 1, step 2: train_loss 3.11290; train_acc 0.12500
epoch 1, step 3: train_loss 1.99921; train_acc 0.25000
epoch 1, step 4: train_loss 2.95782; train_acc 0.00000
epoch 1, step 5: train_loss 3.02296; train_acc 0.00000
epoch 1, step 6: train_loss 2.36452; train_acc 0.25000
epoch 1, step 7: train_loss 2.31980; train_acc 0.00000
epoch 1, step 8: train_loss 2.31894; train_acc 0.25000
epoch 1, step 9: train_loss 1.86855; train_acc 0.12500
epoch 1, step 10: train_loss 2.23751; train_acc 0.25000
epoch 1, step 11: train_loss 2.48046; train_acc 0.25000
epoch 1, step 12: train_loss 1.78838; train_acc 0.25000
epoch 1, step 13: train_loss 2.19689; train_acc 0.12500
epoch 1, step 14: train_loss 2.09242; train_acc 0.25000
epoch 1, step 15: train_loss 1.77447; train_acc 0.37500
epoch 1, step 16: train_loss 1.97430; train_acc 0.37500
epoch 1, step 17: train_loss 1.76484; train_acc 0.25000
epoch 1, step 18: train_loss 2.15786; train_acc 0.37500
epoch 1, step 19: train_loss 2.14978; train_acc 0.00000
epoch 1, step 20: train_loss 1.90201; train_acc 0.12500
epoch 1, step 21: train_loss 2.21822; train_acc 0.12500
epoch 1, step 22: train_loss 2.01218; train_acc 0.12500
epoch 1, step 23: train_loss 1.82830; train_acc 0.37500
epoch 1, step 24: train_loss 1.50997; train_acc 0.62500
epoch 1, step 25: train_loss 2.04315; train_acc 0.50000
epoch 1, step 26: train_loss 1.83641; train_acc 0.50000
epoch 1, step 27: train_loss 1.94247; train_acc 0.25000
epoch 1, step 28: train_loss 1.76761; train_acc 0.50000
epoch 1, step 29: train_loss 1.86239; train_acc 0.25000
epoch 1, step 30: train_loss 1.92867; train_acc 0.25000
epoch 1, step 31: train_loss 2.45019; train_acc 0.00000
epoch 1, step 32: train_loss 1.36996; train_acc 0.50000
epoch 1, step 33: train_loss 1.97934; train_acc 0.25000
epoch 1, step 34: train_loss 2.48405; train_acc 0.00000
epoch 1, step 35: train_loss 1.86390; train_acc 0.37500
epoch 1, step 36: train_loss 1.92439; train_acc 0.25000
epoch 1, step 37: train_loss 1.47101; train_acc 0.37500
epoch 1, step 38: train_loss 1.63188; train_acc 0.62500
epoch 1, step 39: train_loss 1.98546; train_acc 0.12500
epoch 1, step 40: train_loss 1.80705; train_acc 0.37500
epoch 1, step 41: train_loss 1.88164; train_acc 0.50000
epoch 1, step 42: train_loss 1.93641; train_acc 0.25000
epoch 1, step 43: train_loss 1.35812; train_acc 0.62500
epoch 1, step 44: train_loss 1.67823; train_acc 0.25000
epoch 1, step 45: train_loss 1.69711; train_acc 0.62500
epoch 1, step 46: train_loss 2.14332; train_acc 0.25000
epoch 1, step 47: train_loss 1.50180; train_acc 0.50000
epoch 1, step 48: train_loss 1.77386; train_acc 0.12500
epoch 1, step 49: train_loss 1.54843; train_acc 0.50000
epoch 1, step 50: train_loss 1.41098; train_acc 0.62500
epoch 1, step 51: train_loss 1.94059; train_acc 0.25000
epoch 1, step 52: train_loss 1.72519; train_acc 0.25000
epoch 1, step 53: train_loss 1.74129; train_acc 0.37500
epoch 1, step 54: train_loss 2.26494; train_acc 0.00000
epoch 1, step 55: train_loss 1.41312; train_acc 0.50000
epoch 1, step 56: train_loss 1.43981; train_acc 0.37500
epoch 1, step 57: train_loss 1.61911; train_acc 0.25000
epoch 1, step 58: train_loss 1.98178; train_acc 0.25000
epoch 1, step 59: train_loss 1.49013; train_acc 0.37500
epoch 1, step 60: train_loss 1.75390; train_acc 0.37500
epoch 1, step 61: train_loss 1.34253; train_acc 0.50000
epoch 1, step 62: train_loss 1.91825; train_acc 0.25000
epoch 1, step 63: train_loss 1.57045; train_acc 0.37500
epoch 1, step 64: train_loss 1.18628; train_acc 0.75000
epoch 1, step 65: train_loss 1.84692; train_acc 0.37500
epoch 1, step 66: train_loss 1.80672; train_acc 0.25000
epoch 1, step 67: train_loss 1.37420; train_acc 0.62500
epoch 1, step 68: train_loss 1.87640; train_acc 0.00000
epoch 1, step 69: train_loss 1.42240; train_acc 0.50000
epoch 1, step 70: train_loss 1.48296; train_acc 0.12500
epoch 1, step 71: train_loss 1.22939; train_acc 0.50000
epoch 1, step 72: train_loss 1.28148; train_acc 0.62500
epoch 1, step 73: train_loss 1.68084; train_acc 0.37500
epoch 1, step 74: train_loss 1.42478; train_acc 0.37500
epoch 1, step 75: train_loss 1.32663; train_acc 0.50000
epoch 1, step 76: train_loss 1.43825; train_acc 0.50000
epoch 1, step 77: train_loss 1.63907; train_acc 0.50000
epoch 1, step 78: train_loss 1.61215; train_acc 0.37500
epoch 1, step 79: train_loss 1.57076; train_acc 0.50000
epoch 1, step 80: train_loss 1.43999; train_acc 0.50000
epoch 1, step 81: train_loss 1.38958; train_acc 0.50000
epoch 1, step 82: train_loss 1.84348; train_acc 0.12500
epoch 1, step 83: train_loss 1.69867; train_acc 0.40000
Total # of test models:  277
val mean class acc. :  0.4172194335269993
val overall acc. :  0.5379061
val loss :  1.303111972979137
epoch 2, step 1: train_loss 1.60235; train_acc 0.50000
epoch 2, step 2: train_loss 1.50873; train_acc 0.37500
epoch 2, step 3: train_loss 1.40419; train_acc 0.50000
epoch 2, step 4: train_loss 1.73433; train_acc 0.25000
epoch 2, step 5: train_loss 1.32118; train_acc 0.50000
epoch 2, step 6: train_loss 1.74687; train_acc 0.50000
epoch 2, step 7: train_loss 0.98491; train_acc 0.62500
epoch 2, step 8: train_loss 1.66122; train_acc 0.37500
epoch 2, step 9: train_loss 0.89295; train_acc 0.62500
epoch 2, step 10: train_loss 1.69945; train_acc 0.25000
epoch 2, step 11: train_loss 0.91263; train_acc 0.75000
epoch 2, step 12: train_loss 1.30361; train_acc 0.62500
epoch 2, step 13: train_loss 1.59794; train_acc 0.37500
epoch 2, step 14: train_loss 1.35809; train_acc 0.50000
epoch 2, step 15: train_loss 1.37442; train_acc 0.62500
epoch 2, step 16: train_loss 1.48398; train_acc 0.50000
epoch 2, step 17: train_loss 1.03402; train_acc 0.75000
epoch 2, step 18: train_loss 1.25940; train_acc 0.50000
epoch 2, step 19: train_loss 1.56776; train_acc 0.50000
epoch 2, step 20: train_loss 1.50254; train_acc 0.25000
epoch 2, step 21: train_loss 0.76495; train_acc 0.87500
epoch 2, step 22: train_loss 2.01029; train_acc 0.12500
epoch 2, step 23: train_loss 1.15334; train_acc 0.62500
epoch 2, step 24: train_loss 1.37680; train_acc 0.37500
epoch 2, step 25: train_loss 1.65285; train_acc 0.25000
epoch 2, step 26: train_loss 1.30148; train_acc 0.50000
epoch 2, step 27: train_loss 1.44995; train_acc 0.50000
epoch 2, step 28: train_loss 1.86718; train_acc 0.37500
epoch 2, step 29: train_loss 1.14315; train_acc 0.50000
epoch 2, step 30: train_loss 1.17352; train_acc 0.50000
epoch 2, step 31: train_loss 1.05885; train_acc 0.62500
epoch 2, step 32: train_loss 1.13762; train_acc 0.62500
epoch 2, step 33: train_loss 1.09021; train_acc 0.50000
epoch 2, step 34: train_loss 1.33481; train_acc 0.25000
epoch 2, step 35: train_loss 1.27996; train_acc 0.62500
epoch 2, step 36: train_loss 1.33370; train_acc 0.50000
epoch 2, step 37: train_loss 1.01180; train_acc 0.62500
epoch 2, step 38: train_loss 1.31946; train_acc 0.50000
epoch 2, step 39: train_loss 1.40251; train_acc 0.50000
epoch 2, step 40: train_loss 0.82020; train_acc 0.62500
epoch 2, step 41: train_loss 1.08198; train_acc 0.62500
epoch 2, step 42: train_loss 1.08537; train_acc 0.62500
epoch 2, step 43: train_loss 1.45848; train_acc 0.25000
epoch 2, step 44: train_loss 1.41233; train_acc 0.50000
epoch 2, step 45: train_loss 0.84757; train_acc 0.87500
epoch 2, step 46: train_loss 1.00039; train_acc 0.62500
epoch 2, step 47: train_loss 1.23178; train_acc 0.75000
epoch 2, step 48: train_loss 1.06061; train_acc 0.62500
epoch 2, step 49: train_loss 1.53850; train_acc 0.25000
epoch 2, step 50: train_loss 1.08760; train_acc 0.50000
epoch 2, step 51: train_loss 0.93147; train_acc 0.62500
epoch 2, step 52: train_loss 1.19878; train_acc 0.37500
epoch 2, step 53: train_loss 1.22090; train_acc 0.50000
epoch 2, step 54: train_loss 0.89395; train_acc 0.75000
epoch 2, step 55: train_loss 0.81404; train_acc 0.62500
epoch 2, step 56: train_loss 0.72965; train_acc 0.87500
epoch 2, step 57: train_loss 0.49032; train_acc 0.87500
epoch 2, step 58: train_loss 1.32171; train_acc 0.37500
epoch 2, step 59: train_loss 1.18019; train_acc 0.50000
epoch 2, step 60: train_loss 1.13630; train_acc 0.75000
epoch 2, step 61: train_loss 1.46316; train_acc 0.62500
epoch 2, step 62: train_loss 1.02958; train_acc 0.62500
epoch 2, step 63: train_loss 1.44220; train_acc 0.37500
epoch 2, step 64: train_loss 1.63118; train_acc 0.12500
epoch 2, step 65: train_loss 0.81824; train_acc 0.75000
epoch 2, step 66: train_loss 1.02919; train_acc 0.62500
epoch 2, step 67: train_loss 0.94971; train_acc 0.50000
epoch 2, step 68: train_loss 1.44726; train_acc 0.12500
epoch 2, step 69: train_loss 0.90513; train_acc 0.62500
epoch 2, step 70: train_loss 0.97133; train_acc 0.75000
epoch 2, step 71: train_loss 1.36768; train_acc 0.50000
epoch 2, step 72: train_loss 1.20671; train_acc 0.37500
epoch 2, step 73: train_loss 0.96831; train_acc 0.75000
epoch 2, step 74: train_loss 1.42068; train_acc 0.50000
epoch 2, step 75: train_loss 0.55090; train_acc 0.87500
epoch 2, step 76: train_loss 0.96991; train_acc 0.62500
epoch 2, step 77: train_loss 0.97111; train_acc 0.75000
epoch 2, step 78: train_loss 1.03511; train_acc 0.62500
epoch 2, step 79: train_loss 1.44935; train_acc 0.25000
epoch 2, step 80: train_loss 0.48455; train_acc 0.87500
epoch 2, step 81: train_loss 1.34735; train_acc 0.50000
epoch 2, step 82: train_loss 0.66066; train_acc 0.75000
epoch 2, step 83: train_loss 1.36259; train_acc 0.60000
Total # of test models:  277
val mean class acc. :  0.69407745215311
val overall acc. :  0.7617329
val loss :  0.8415609129837581
epoch 3, step 1: train_loss 0.79963; train_acc 0.75000
epoch 3, step 2: train_loss 0.97815; train_acc 0.62500
epoch 3, step 3: train_loss 1.11608; train_acc 0.62500
epoch 3, step 4: train_loss 0.81943; train_acc 0.75000
epoch 3, step 5: train_loss 1.12877; train_acc 0.50000
epoch 3, step 6: train_loss 1.05676; train_acc 0.62500
epoch 3, step 7: train_loss 1.00690; train_acc 0.37500
epoch 3, step 8: train_loss 0.52016; train_acc 1.00000
epoch 3, step 9: train_loss 0.89015; train_acc 0.75000
epoch 3, step 10: train_loss 0.69941; train_acc 0.62500
epoch 3, step 11: train_loss 0.73701; train_acc 0.75000
epoch 3, step 12: train_loss 0.25507; train_acc 1.00000
epoch 3, step 13: train_loss 1.33987; train_acc 0.50000
epoch 3, step 14: train_loss 0.70116; train_acc 0.62500
epoch 3, step 15: train_loss 0.69581; train_acc 0.75000
epoch 3, step 16: train_loss 1.77840; train_acc 0.50000
epoch 3, step 17: train_loss 1.24414; train_acc 0.37500
epoch 3, step 18: train_loss 0.22215; train_acc 1.00000
epoch 3, step 19: train_loss 0.70083; train_acc 0.87500
epoch 3, step 20: train_loss 1.18946; train_acc 0.50000
epoch 3, step 21: train_loss 1.33940; train_acc 0.50000
epoch 3, step 22: train_loss 0.98820; train_acc 0.50000
epoch 3, step 23: train_loss 0.91121; train_acc 0.62500
epoch 3, step 24: train_loss 0.59139; train_acc 0.75000
epoch 3, step 25: train_loss 0.54573; train_acc 0.87500
epoch 3, step 26: train_loss 0.96101; train_acc 0.75000
epoch 3, step 27: train_loss 1.33648; train_acc 0.50000
epoch 3, step 28: train_loss 0.79477; train_acc 0.87500
epoch 3, step 29: train_loss 0.68187; train_acc 0.87500
epoch 3, step 30: train_loss 0.67169; train_acc 0.87500
epoch 3, step 31: train_loss 1.02710; train_acc 0.75000
epoch 3, step 32: train_loss 1.12612; train_acc 0.62500
epoch 3, step 33: train_loss 0.71369; train_acc 0.87500
epoch 3, step 34: train_loss 1.16800; train_acc 0.62500
epoch 3, step 35: train_loss 1.02771; train_acc 0.62500
epoch 3, step 36: train_loss 0.60112; train_acc 0.87500
epoch 3, step 37: train_loss 0.92202; train_acc 0.50000
epoch 3, step 38: train_loss 1.06626; train_acc 0.75000
epoch 3, step 39: train_loss 1.29313; train_acc 0.50000
epoch 3, step 40: train_loss 1.03692; train_acc 0.62500
epoch 3, step 41: train_loss 0.55856; train_acc 0.75000
epoch 3, step 42: train_loss 0.52835; train_acc 0.87500
epoch 3, step 43: train_loss 0.94781; train_acc 0.75000
epoch 3, step 44: train_loss 0.78287; train_acc 0.62500
epoch 3, step 45: train_loss 1.12669; train_acc 0.75000
epoch 3, step 46: train_loss 0.82380; train_acc 0.62500
epoch 3, step 47: train_loss 1.09456; train_acc 0.62500
epoch 3, step 48: train_loss 0.43704; train_acc 0.87500
epoch 3, step 49: train_loss 0.43437; train_acc 0.75000
epoch 3, step 50: train_loss 0.90232; train_acc 0.62500
epoch 3, step 51: train_loss 0.62263; train_acc 0.87500
epoch 3, step 52: train_loss 0.74978; train_acc 0.75000
epoch 3, step 53: train_loss 0.67486; train_acc 0.62500
epoch 3, step 54: train_loss 0.75930; train_acc 0.87500
epoch 3, step 55: train_loss 1.02303; train_acc 0.62500
epoch 3, step 56: train_loss 1.29920; train_acc 0.50000
epoch 3, step 57: train_loss 0.35023; train_acc 0.87500
epoch 3, step 58: train_loss 0.71581; train_acc 0.75000
epoch 3, step 59: train_loss 1.05475; train_acc 0.62500
epoch 3, step 60: train_loss 1.03042; train_acc 0.62500
epoch 3, step 61: train_loss 1.27459; train_acc 0.50000
epoch 3, step 62: train_loss 0.80759; train_acc 0.75000
epoch 3, step 63: train_loss 0.91730; train_acc 0.75000
epoch 3, step 64: train_loss 0.88901; train_acc 0.62500
epoch 3, step 65: train_loss 1.00690; train_acc 0.75000
epoch 3, step 66: train_loss 1.24712; train_acc 0.50000
epoch 3, step 67: train_loss 0.84260; train_acc 0.62500
epoch 3, step 68: train_loss 0.87898; train_acc 0.75000
epoch 3, step 69: train_loss 0.46219; train_acc 1.00000
epoch 3, step 70: train_loss 0.83860; train_acc 0.62500
epoch 3, step 71: train_loss 1.15074; train_acc 0.75000
epoch 3, step 72: train_loss 0.56973; train_acc 0.87500
epoch 3, step 73: train_loss 0.99571; train_acc 0.75000
epoch 3, step 74: train_loss 0.73092; train_acc 0.62500
epoch 3, step 75: train_loss 0.95745; train_acc 0.75000
epoch 3, step 76: train_loss 1.13190; train_acc 0.37500
epoch 3, step 77: train_loss 0.50897; train_acc 0.87500
epoch 3, step 78: train_loss 0.98626; train_acc 0.50000
epoch 3, step 79: train_loss 0.94688; train_acc 0.62500
epoch 3, step 80: train_loss 0.67311; train_acc 0.62500
epoch 3, step 81: train_loss 0.46062; train_acc 0.87500
epoch 3, step 82: train_loss 1.06178; train_acc 0.75000
epoch 3, step 83: train_loss 0.84389; train_acc 0.60000
Total # of test models:  277
val mean class acc. :  0.7678882931761222
val overall acc. :  0.8050541
val loss :  0.6323838463851383
epoch 4, step 1: train_loss 0.53676; train_acc 0.75000
epoch 4, step 2: train_loss 0.94678; train_acc 0.75000
epoch 4, step 3: train_loss 0.36090; train_acc 0.87500
epoch 4, step 4: train_loss 0.22258; train_acc 1.00000
epoch 4, step 5: train_loss 1.05797; train_acc 0.37500
epoch 4, step 6: train_loss 0.60681; train_acc 0.62500
epoch 4, step 7: train_loss 1.05827; train_acc 0.50000
epoch 4, step 8: train_loss 0.61472; train_acc 0.75000
epoch 4, step 9: train_loss 0.23163; train_acc 1.00000
epoch 4, step 10: train_loss 0.53362; train_acc 0.75000
epoch 4, step 11: train_loss 0.66108; train_acc 0.75000
epoch 4, step 12: train_loss 0.35379; train_acc 0.87500
epoch 4, step 13: train_loss 0.42328; train_acc 1.00000
epoch 4, step 14: train_loss 0.29709; train_acc 1.00000
epoch 4, step 15: train_loss 0.89939; train_acc 0.75000
epoch 4, step 16: train_loss 0.71188; train_acc 0.75000
epoch 4, step 17: train_loss 0.61433; train_acc 0.75000
epoch 4, step 18: train_loss 0.85319; train_acc 0.75000
epoch 4, step 19: train_loss 0.89717; train_acc 0.62500
epoch 4, step 20: train_loss 0.94748; train_acc 0.75000
epoch 4, step 21: train_loss 1.16574; train_acc 0.75000
epoch 4, step 22: train_loss 0.45947; train_acc 0.87500
epoch 4, step 23: train_loss 0.43277; train_acc 0.75000
epoch 4, step 24: train_loss 0.40853; train_acc 0.87500
epoch 4, step 25: train_loss 0.79475; train_acc 0.62500
epoch 4, step 26: train_loss 0.20774; train_acc 1.00000
epoch 4, step 27: train_loss 0.82501; train_acc 0.62500
epoch 4, step 28: train_loss 0.74268; train_acc 0.75000
epoch 4, step 29: train_loss 0.46070; train_acc 0.75000
epoch 4, step 30: train_loss 0.62319; train_acc 0.75000
epoch 4, step 31: train_loss 1.20307; train_acc 0.62500
epoch 4, step 32: train_loss 0.90504; train_acc 0.75000
epoch 4, step 33: train_loss 0.31997; train_acc 0.87500
epoch 4, step 34: train_loss 0.91361; train_acc 0.62500
epoch 4, step 35: train_loss 0.67504; train_acc 0.62500
epoch 4, step 36: train_loss 0.99138; train_acc 0.62500
epoch 4, step 37: train_loss 0.57162; train_acc 0.87500
epoch 4, step 38: train_loss 0.58618; train_acc 0.87500
epoch 4, step 39: train_loss 0.88073; train_acc 0.87500
epoch 4, step 40: train_loss 0.93417; train_acc 0.62500
epoch 4, step 41: train_loss 0.45665; train_acc 1.00000
epoch 4, step 42: train_loss 0.86749; train_acc 0.75000
epoch 4, step 43: train_loss 0.61015; train_acc 0.75000
epoch 4, step 44: train_loss 0.67316; train_acc 0.75000
epoch 4, step 45: train_loss 1.28536; train_acc 0.62500
epoch 4, step 46: train_loss 0.59855; train_acc 0.62500
epoch 4, step 47: train_loss 1.13807; train_acc 0.62500
epoch 4, step 48: train_loss 0.39001; train_acc 0.75000
epoch 4, step 49: train_loss 0.37645; train_acc 0.87500
epoch 4, step 50: train_loss 0.92729; train_acc 0.62500
epoch 4, step 51: train_loss 1.34212; train_acc 0.25000
epoch 4, step 52: train_loss 0.69232; train_acc 0.87500
epoch 4, step 53: train_loss 0.58188; train_acc 0.75000
epoch 4, step 54: train_loss 0.75501; train_acc 0.62500
epoch 4, step 55: train_loss 0.69384; train_acc 0.75000
epoch 4, step 56: train_loss 0.41805; train_acc 0.87500
epoch 4, step 57: train_loss 0.85253; train_acc 0.50000
epoch 4, step 58: train_loss 2.16635; train_acc 0.25000
epoch 4, step 59: train_loss 1.32211; train_acc 0.62500
epoch 4, step 60: train_loss 0.87300; train_acc 0.62500
epoch 4, step 61: train_loss 0.29864; train_acc 1.00000
epoch 4, step 62: train_loss 0.87359; train_acc 0.75000
epoch 4, step 63: train_loss 0.56946; train_acc 0.62500
epoch 4, step 64: train_loss 0.50625; train_acc 0.75000
epoch 4, step 65: train_loss 0.64105; train_acc 0.87500
epoch 4, step 66: train_loss 0.17583; train_acc 1.00000
epoch 4, step 67: train_loss 1.46461; train_acc 0.50000
epoch 4, step 68: train_loss 0.36448; train_acc 0.87500
epoch 4, step 69: train_loss 0.64718; train_acc 0.75000
epoch 4, step 70: train_loss 0.28471; train_acc 0.87500
epoch 4, step 71: train_loss 0.25325; train_acc 1.00000
epoch 4, step 72: train_loss 0.56234; train_acc 0.87500
epoch 4, step 73: train_loss 0.89638; train_acc 0.62500
epoch 4, step 74: train_loss 0.69287; train_acc 0.62500
epoch 4, step 75: train_loss 1.10495; train_acc 0.62500
epoch 4, step 76: train_loss 1.12543; train_acc 0.62500
epoch 4, step 77: train_loss 0.26753; train_acc 0.87500
epoch 4, step 78: train_loss 0.97254; train_acc 0.62500
epoch 4, step 79: train_loss 1.01407; train_acc 0.62500
epoch 4, step 80: train_loss 0.81160; train_acc 0.62500
epoch 4, step 81: train_loss 1.11476; train_acc 0.62500
epoch 4, step 82: train_loss 0.53191; train_acc 0.87500
epoch 4, step 83: train_loss 0.57621; train_acc 0.80000
Total # of test models:  277
val mean class acc. :  0.7656390265436318
val overall acc. :  0.77978337
val loss :  0.6073583815779005
epoch 5, step 1: train_loss 0.44526; train_acc 0.75000
epoch 5, step 2: train_loss 0.40578; train_acc 0.87500
epoch 5, step 3: train_loss 1.04107; train_acc 0.50000
epoch 5, step 4: train_loss 0.74803; train_acc 0.62500
epoch 5, step 5: train_loss 0.15095; train_acc 1.00000
epoch 5, step 6: train_loss 0.41385; train_acc 0.87500
epoch 5, step 7: train_loss 0.36500; train_acc 0.87500
epoch 5, step 8: train_loss 0.12894; train_acc 1.00000
epoch 5, step 9: train_loss 1.77793; train_acc 0.37500
epoch 5, step 10: train_loss 0.82596; train_acc 0.62500
epoch 5, step 11: train_loss 0.47762; train_acc 0.75000
epoch 5, step 12: train_loss 0.57880; train_acc 0.62500
epoch 5, step 13: train_loss 0.57597; train_acc 0.87500
epoch 5, step 14: train_loss 0.09231; train_acc 1.00000
epoch 5, step 15: train_loss 1.23206; train_acc 0.50000
epoch 5, step 16: train_loss 0.24157; train_acc 1.00000
epoch 5, step 17: train_loss 0.76395; train_acc 0.75000
epoch 5, step 18: train_loss 0.68353; train_acc 0.87500
epoch 5, step 19: train_loss 0.74040; train_acc 0.50000
epoch 5, step 20: train_loss 0.60011; train_acc 0.62500
epoch 5, step 21: train_loss 0.30929; train_acc 1.00000
epoch 5, step 22: train_loss 0.60826; train_acc 0.75000
epoch 5, step 23: train_loss 0.58423; train_acc 0.75000
epoch 5, step 24: train_loss 0.92886; train_acc 0.62500
epoch 5, step 25: train_loss 0.52944; train_acc 0.75000
epoch 5, step 26: train_loss 1.01313; train_acc 0.75000
epoch 5, step 27: train_loss 0.62154; train_acc 0.75000
epoch 5, step 28: train_loss 0.23726; train_acc 0.87500
epoch 5, step 29: train_loss 1.48777; train_acc 0.50000
epoch 5, step 30: train_loss 0.75388; train_acc 0.87500
epoch 5, step 31: train_loss 0.97063; train_acc 0.50000
epoch 5, step 32: train_loss 0.37454; train_acc 1.00000
epoch 5, step 33: train_loss 0.64942; train_acc 0.75000
epoch 5, step 34: train_loss 0.37412; train_acc 1.00000
epoch 5, step 35: train_loss 1.05418; train_acc 0.37500
epoch 5, step 36: train_loss 0.55297; train_acc 0.75000
epoch 5, step 37: train_loss 0.10750; train_acc 1.00000
epoch 5, step 38: train_loss 0.84006; train_acc 0.75000
epoch 5, step 39: train_loss 0.45230; train_acc 0.87500
epoch 5, step 40: train_loss 1.04170; train_acc 0.50000
epoch 5, step 41: train_loss 0.52115; train_acc 0.87500
epoch 5, step 42: train_loss 1.11544; train_acc 0.37500
epoch 5, step 43: train_loss 0.96055; train_acc 0.75000
epoch 5, step 44: train_loss 0.84118; train_acc 0.75000
epoch 5, step 45: train_loss 0.48333; train_acc 0.87500
epoch 5, step 46: train_loss 0.64312; train_acc 0.75000
epoch 5, step 47: train_loss 0.64977; train_acc 0.62500
epoch 5, step 48: train_loss 1.22969; train_acc 0.75000
epoch 5, step 49: train_loss 0.93804; train_acc 0.50000
epoch 5, step 50: train_loss 0.45345; train_acc 0.87500
epoch 5, step 51: train_loss 0.79115; train_acc 0.87500
epoch 5, step 52: train_loss 0.87433; train_acc 0.50000
epoch 5, step 53: train_loss 0.78962; train_acc 0.62500
epoch 5, step 54: train_loss 0.42272; train_acc 0.87500
epoch 5, step 55: train_loss 0.64026; train_acc 0.62500
epoch 5, step 56: train_loss 0.22458; train_acc 1.00000
epoch 5, step 57: train_loss 0.11378; train_acc 1.00000
epoch 5, step 58: train_loss 0.84293; train_acc 0.75000
epoch 5, step 59: train_loss 0.75661; train_acc 0.75000
epoch 5, step 60: train_loss 0.18582; train_acc 1.00000
epoch 5, step 61: train_loss 0.26591; train_acc 0.87500
epoch 5, step 62: train_loss 0.40747; train_acc 0.87500
epoch 5, step 63: train_loss 1.34657; train_acc 0.62500
epoch 5, step 64: train_loss 0.20789; train_acc 0.87500
epoch 5, step 65: train_loss 0.34914; train_acc 0.87500
epoch 5, step 66: train_loss 0.29308; train_acc 1.00000
epoch 5, step 67: train_loss 1.34472; train_acc 0.37500
epoch 5, step 68: train_loss 0.33979; train_acc 1.00000
epoch 5, step 69: train_loss 0.21583; train_acc 1.00000
epoch 5, step 70: train_loss 0.71183; train_acc 0.75000
epoch 5, step 71: train_loss 1.05709; train_acc 0.62500
epoch 5, step 72: train_loss 0.58874; train_acc 0.87500
epoch 5, step 73: train_loss 0.33596; train_acc 0.75000
epoch 5, step 74: train_loss 1.08271; train_acc 0.50000
epoch 5, step 75: train_loss 0.30711; train_acc 0.87500
epoch 5, step 76: train_loss 0.85588; train_acc 0.75000
epoch 5, step 77: train_loss 0.76154; train_acc 0.62500
