python train_mvcnn.py -name mvcnn -num_models 1000 -weight_decay 0.001 -num_views 12 -cnn_name vgg11
\pretraining:  True
WARNING: summary folder already exists!! It will be overwritten!!
WARNING: summary folder already exists!! It will be overwritten!!
num_train_files: 7932
num_val_files: 3324
epoch 1, step 1: train_loss 2.20341; train_acc 0.00000
epoch 1, step 2: train_loss 2.28659; train_acc 0.12500
epoch 1, step 3: train_loss 2.43934; train_acc 0.00000
epoch 1, step 4: train_loss 2.26671; train_acc 0.12500
epoch 1, step 5: train_loss 2.39208; train_acc 0.25000
epoch 1, step 6: train_loss 2.53464; train_acc 0.25000
epoch 1, step 7: train_loss 2.05117; train_acc 0.37500
epoch 1, step 8: train_loss 1.90968; train_acc 0.25000
epoch 1, step 9: train_loss 2.07243; train_acc 0.12500
epoch 1, step 10: train_loss 2.04306; train_acc 0.12500
epoch 1, step 11: train_loss 2.29272; train_acc 0.12500
epoch 1, step 12: train_loss 2.31034; train_acc 0.00000
epoch 1, step 13: train_loss 2.26381; train_acc 0.12500
epoch 1, step 14: train_loss 2.10523; train_acc 0.12500
epoch 1, step 15: train_loss 1.91037; train_acc 0.25000
epoch 1, step 16: train_loss 2.03518; train_acc 0.25000
epoch 1, step 17: train_loss 2.07327; train_acc 0.12500
epoch 1, step 18: train_loss 2.73038; train_acc 0.12500
epoch 1, step 19: train_loss 2.27234; train_acc 0.12500
epoch 1, step 20: train_loss 2.01691; train_acc 0.25000
epoch 1, step 21: train_loss 2.15766; train_acc 0.00000
epoch 1, step 22: train_loss 1.91190; train_acc 0.37500
epoch 1, step 23: train_loss 1.95497; train_acc 0.25000
epoch 1, step 24: train_loss 2.19211; train_acc 0.00000
epoch 1, step 25: train_loss 1.98776; train_acc 0.25000
epoch 1, step 26: train_loss 1.98336; train_acc 0.37500
epoch 1, step 27: train_loss 2.04281; train_acc 0.25000
epoch 1, step 28: train_loss 1.99771; train_acc 0.25000
epoch 1, step 29: train_loss 2.05501; train_acc 0.25000
epoch 1, step 30: train_loss 1.87818; train_acc 0.12500
epoch 1, step 31: train_loss 2.17861; train_acc 0.00000
epoch 1, step 32: train_loss 1.49762; train_acc 0.62500
epoch 1, step 33: train_loss 1.70105; train_acc 0.50000
epoch 1, step 34: train_loss 2.20812; train_acc 0.00000
epoch 1, step 35: train_loss 1.61781; train_acc 0.50000
epoch 1, step 36: train_loss 1.84657; train_acc 0.25000
epoch 1, step 37: train_loss 1.59091; train_acc 0.50000
epoch 1, step 38: train_loss 1.59865; train_acc 0.62500
epoch 1, step 39: train_loss 1.51170; train_acc 0.62500
epoch 1, step 40: train_loss 1.86518; train_acc 0.25000
epoch 1, step 41: train_loss 2.00846; train_acc 0.50000
epoch 1, step 42: train_loss 1.98688; train_acc 0.25000
epoch 1, step 43: train_loss 1.69913; train_acc 0.25000
epoch 1, step 44: train_loss 1.70191; train_acc 0.37500
epoch 1, step 45: train_loss 1.74934; train_acc 0.50000
epoch 1, step 46: train_loss 2.25221; train_acc 0.12500
epoch 1, step 47: train_loss 1.86686; train_acc 0.25000
epoch 1, step 48: train_loss 1.78496; train_acc 0.37500
epoch 1, step 49: train_loss 1.70494; train_acc 0.25000
epoch 1, step 50: train_loss 1.40045; train_acc 0.37500
epoch 1, step 51: train_loss 1.69167; train_acc 0.50000
epoch 1, step 52: train_loss 1.75163; train_acc 0.25000
epoch 1, step 53: train_loss 1.86108; train_acc 0.25000
epoch 1, step 54: train_loss 1.65955; train_acc 0.12500
epoch 1, step 55: train_loss 1.68945; train_acc 0.50000
epoch 1, step 56: train_loss 1.55540; train_acc 0.50000
epoch 1, step 57: train_loss 1.59889; train_acc 0.37500
epoch 1, step 58: train_loss 2.01548; train_acc 0.12500
epoch 1, step 59: train_loss 1.39038; train_acc 0.37500
epoch 1, step 60: train_loss 1.97992; train_acc 0.25000
epoch 1, step 61: train_loss 1.57953; train_acc 0.50000
epoch 1, step 62: train_loss 1.86792; train_acc 0.37500
epoch 1, step 63: train_loss 1.51093; train_acc 0.50000
epoch 1, step 64: train_loss 1.38168; train_acc 0.50000
epoch 1, step 65: train_loss 1.75381; train_acc 0.50000
epoch 1, step 66: train_loss 1.71801; train_acc 0.25000
epoch 1, step 67: train_loss 1.21713; train_acc 0.75000
epoch 1, step 68: train_loss 1.81080; train_acc 0.37500
epoch 1, step 69: train_loss 1.57240; train_acc 0.25000
epoch 1, step 70: train_loss 1.47949; train_acc 0.50000
epoch 1, step 71: train_loss 1.24455; train_acc 0.50000
epoch 1, step 72: train_loss 1.48627; train_acc 0.25000
epoch 1, step 73: train_loss 1.44815; train_acc 0.50000
epoch 1, step 74: train_loss 1.74741; train_acc 0.37500
epoch 1, step 75: train_loss 1.42247; train_acc 0.75000
epoch 1, step 76: train_loss 1.54036; train_acc 0.37500
epoch 1, step 77: train_loss 1.59616; train_acc 0.37500
epoch 1, step 78: train_loss 1.43090; train_acc 0.37500
epoch 1, step 79: train_loss 1.58235; train_acc 0.37500
epoch 1, step 80: train_loss 1.61239; train_acc 0.37500
epoch 1, step 81: train_loss 1.45450; train_acc 0.50000
epoch 1, step 82: train_loss 1.95541; train_acc 0.00000
epoch 1, step 83: train_loss 1.75469; train_acc 0.40000
Total # of test models:  277
val mean class acc. :  0.4610862739234449
val overall acc. :  0.57761735
val loss :  1.3364481900419507
epoch 2, step 1: train_loss 1.47078; train_acc 0.62500
epoch 2, step 2: train_loss 1.56145; train_acc 0.37500
epoch 2, step 3: train_loss 1.33375; train_acc 0.62500
epoch 2, step 4: train_loss 1.41424; train_acc 0.62500
epoch 2, step 5: train_loss 1.63605; train_acc 0.25000
epoch 2, step 6: train_loss 1.91912; train_acc 0.37500
epoch 2, step 7: train_loss 1.14550; train_acc 0.37500
epoch 2, step 8: train_loss 1.57047; train_acc 0.12500
epoch 2, step 9: train_loss 1.27827; train_acc 0.62500
epoch 2, step 10: train_loss 1.68599; train_acc 0.50000
epoch 2, step 11: train_loss 0.99744; train_acc 0.62500
epoch 2, step 12: train_loss 1.39342; train_acc 0.37500
epoch 2, step 13: train_loss 1.63800; train_acc 0.12500
epoch 2, step 14: train_loss 1.42276; train_acc 0.37500
epoch 2, step 15: train_loss 1.30189; train_acc 0.37500
epoch 2, step 16: train_loss 1.27127; train_acc 0.37500
epoch 2, step 17: train_loss 1.14380; train_acc 0.75000
epoch 2, step 18: train_loss 1.23953; train_acc 0.62500
epoch 2, step 19: train_loss 1.70262; train_acc 0.50000
epoch 2, step 20: train_loss 1.29515; train_acc 0.62500
epoch 2, step 21: train_loss 0.91247; train_acc 0.75000
epoch 2, step 22: train_loss 1.80193; train_acc 0.25000
epoch 2, step 23: train_loss 1.01201; train_acc 0.75000
epoch 2, step 24: train_loss 1.45419; train_acc 0.37500
epoch 2, step 25: train_loss 1.48262; train_acc 0.37500
epoch 2, step 26: train_loss 1.16230; train_acc 0.62500
epoch 2, step 27: train_loss 1.57109; train_acc 0.50000
epoch 2, step 28: train_loss 1.57137; train_acc 0.50000
epoch 2, step 29: train_loss 1.26664; train_acc 0.62500
epoch 2, step 30: train_loss 1.27629; train_acc 0.37500
epoch 2, step 31: train_loss 1.19485; train_acc 0.75000
epoch 2, step 32: train_loss 1.30012; train_acc 0.50000
epoch 2, step 33: train_loss 1.40749; train_acc 0.37500
epoch 2, step 34: train_loss 1.57329; train_acc 0.37500
epoch 2, step 35: train_loss 1.37199; train_acc 0.62500
epoch 2, step 36: train_loss 1.25894; train_acc 0.62500
epoch 2, step 37: train_loss 1.00478; train_acc 0.75000
epoch 2, step 38: train_loss 0.98781; train_acc 0.75000
epoch 2, step 39: train_loss 1.38184; train_acc 0.62500
epoch 2, step 40: train_loss 0.70074; train_acc 0.75000
epoch 2, step 41: train_loss 0.82011; train_acc 0.75000
epoch 2, step 42: train_loss 1.24813; train_acc 0.25000
epoch 2, step 43: train_loss 1.61017; train_acc 0.37500
epoch 2, step 44: train_loss 1.37341; train_acc 0.50000
epoch 2, step 45: train_loss 0.95874; train_acc 0.75000
epoch 2, step 46: train_loss 0.95025; train_acc 0.75000
epoch 2, step 47: train_loss 1.48711; train_acc 0.50000
epoch 2, step 48: train_loss 1.12235; train_acc 0.37500
epoch 2, step 49: train_loss 1.80215; train_acc 0.12500
epoch 2, step 50: train_loss 0.89177; train_acc 0.75000
epoch 2, step 51: train_loss 1.02765; train_acc 0.75000
epoch 2, step 52: train_loss 1.20191; train_acc 0.62500
epoch 2, step 53: train_loss 1.26099; train_acc 0.50000
epoch 2, step 54: train_loss 0.83513; train_acc 0.87500
epoch 2, step 55: train_loss 1.01258; train_acc 0.75000
epoch 2, step 56: train_loss 0.91721; train_acc 0.75000
epoch 2, step 57: train_loss 0.54079; train_acc 1.00000
epoch 2, step 58: train_loss 1.25492; train_acc 0.37500
epoch 2, step 59: train_loss 1.04557; train_acc 0.62500
epoch 2, step 60: train_loss 0.83030; train_acc 0.87500
epoch 2, step 61: train_loss 1.93597; train_acc 0.12500
epoch 2, step 62: train_loss 1.11250; train_acc 0.50000
epoch 2, step 63: train_loss 1.30090; train_acc 0.62500
epoch 2, step 64: train_loss 1.30375; train_acc 0.37500
epoch 2, step 65: train_loss 1.01073; train_acc 0.50000
epoch 2, step 66: train_loss 0.83815; train_acc 0.75000
