python train_mvcnn.py -name mvcnn -num_models 1000 -weight_decay 0.001 -num_views 12 -cnn_name vgg11
pretraining:  True
WARNING: summary folder already exists!! It will be overwritten!!
WARNING: summary folder already exists!! It will be overwritten!!
num_train_files: 7932
num_val_files: 3324
epoch 1, step 1: train_loss 1.94336; train_acc 0.00000
epoch 1, step 2: train_loss 2.45411; train_acc 0.00000
epoch 1, step 3: train_loss 2.45293; train_acc 0.12500
epoch 1, step 4: train_loss 2.40030; train_acc 0.12500
epoch 1, step 5: train_loss 2.82991; train_acc 0.00000
epoch 1, step 6: train_loss 2.34199; train_acc 0.12500
epoch 1, step 7: train_loss 2.09127; train_acc 0.25000
epoch 1, step 8: train_loss 2.33835; train_acc 0.25000
epoch 1, step 9: train_loss 2.41941; train_acc 0.00000
epoch 1, step 10: train_loss 2.23545; train_acc 0.00000
epoch 1, step 11: train_loss 2.36830; train_acc 0.12500
epoch 1, step 12: train_loss 2.00750; train_acc 0.25000
epoch 1, step 13: train_loss 2.24545; train_acc 0.25000
epoch 1, step 14: train_loss 1.84745; train_acc 0.50000
epoch 1, step 15: train_loss 1.81273; train_acc 0.50000
epoch 1, step 16: train_loss 2.20031; train_acc 0.00000
epoch 1, step 17: train_loss 2.00022; train_acc 0.25000
epoch 1, step 18: train_loss 2.42618; train_acc 0.00000
epoch 1, step 19: train_loss 1.92708; train_acc 0.37500
epoch 1, step 20: train_loss 2.14021; train_acc 0.37500
epoch 1, step 21: train_loss 2.16677; train_acc 0.12500
epoch 1, step 22: train_loss 1.90550; train_acc 0.25000
epoch 1, step 23: train_loss 1.98230; train_acc 0.25000
epoch 1, step 24: train_loss 1.78983; train_acc 0.37500
epoch 1, step 25: train_loss 1.92158; train_acc 0.50000
epoch 1, step 26: train_loss 2.01045; train_acc 0.25000
epoch 1, step 27: train_loss 1.99582; train_acc 0.37500
epoch 1, step 28: train_loss 1.97256; train_acc 0.37500
epoch 1, step 29: train_loss 2.26442; train_acc 0.12500
epoch 1, step 30: train_loss 1.91406; train_acc 0.12500
epoch 1, step 31: train_loss 2.16807; train_acc 0.25000
epoch 1, step 32: train_loss 1.48583; train_acc 0.37500
epoch 1, step 33: train_loss 2.09779; train_acc 0.12500
epoch 1, step 34: train_loss 2.29970; train_acc 0.00000
epoch 1, step 35: train_loss 1.82370; train_acc 0.37500
epoch 1, step 36: train_loss 1.86928; train_acc 0.37500
epoch 1, step 37: train_loss 1.58395; train_acc 0.50000
epoch 1, step 38: train_loss 1.69397; train_acc 0.37500
epoch 1, step 39: train_loss 1.78353; train_acc 0.25000
epoch 1, step 40: train_loss 1.90001; train_acc 0.37500
epoch 1, step 41: train_loss 2.02620; train_acc 0.37500
epoch 1, step 42: train_loss 1.92289; train_acc 0.25000
epoch 1, step 43: train_loss 1.40975; train_acc 0.50000
epoch 1, step 44: train_loss 1.78118; train_acc 0.37500
epoch 1, step 45: train_loss 1.47817; train_acc 0.50000
epoch 1, step 46: train_loss 2.23357; train_acc 0.12500
epoch 1, step 47: train_loss 1.52646; train_acc 0.75000
epoch 1, step 48: train_loss 1.97042; train_acc 0.00000
epoch 1, step 49: train_loss 1.52237; train_acc 0.62500
epoch 1, step 50: train_loss 1.42922; train_acc 0.50000
epoch 1, step 51: train_loss 1.78420; train_acc 0.25000
epoch 1, step 52: train_loss 1.61473; train_acc 0.62500
epoch 1, step 53: train_loss 1.80799; train_acc 0.25000
epoch 1, step 54: train_loss 1.71864; train_acc 0.00000
epoch 1, step 55: train_loss 1.56015; train_acc 0.50000
epoch 1, step 56: train_loss 1.20123; train_acc 0.75000
epoch 1, step 57: train_loss 1.59319; train_acc 0.25000
epoch 1, step 58: train_loss 1.99741; train_acc 0.25000
epoch 1, step 59: train_loss 1.66503; train_acc 0.37500
epoch 1, step 60: train_loss 1.98288; train_acc 0.25000
epoch 1, step 61: train_loss 1.40061; train_acc 0.50000
epoch 1, step 62: train_loss 1.85868; train_acc 0.37500
epoch 1, step 63: train_loss 1.58899; train_acc 0.37500
epoch 1, step 64: train_loss 1.35001; train_acc 0.50000
epoch 1, step 65: train_loss 1.81309; train_acc 0.25000
epoch 1, step 66: train_loss 1.77182; train_acc 0.25000
epoch 1, step 67: train_loss 1.44087; train_acc 0.50000
epoch 1, step 68: train_loss 1.79625; train_acc 0.25000
epoch 1, step 69: train_loss 1.39099; train_acc 0.37500
epoch 1, step 70: train_loss 1.71450; train_acc 0.25000
epoch 1, step 71: train_loss 1.18996; train_acc 0.75000
epoch 1, step 72: train_loss 1.12696; train_acc 0.62500
epoch 1, step 73: train_loss 1.57858; train_acc 0.25000
epoch 1, step 74: train_loss 1.36143; train_acc 0.50000
epoch 1, step 75: train_loss 1.60176; train_acc 0.50000
epoch 1, step 76: train_loss 1.57970; train_acc 0.37500
epoch 1, step 77: train_loss 1.50762; train_acc 0.50000
epoch 1, step 78: train_loss 1.56127; train_acc 0.50000
epoch 1, step 79: train_loss 1.41796; train_acc 0.50000
epoch 1, step 80: train_loss 1.64395; train_acc 0.25000
epoch 1, step 81: train_loss 1.35514; train_acc 0.75000
epoch 1, step 82: train_loss 2.16145; train_acc 0.00000
epoch 1, step 83: train_loss 1.59483; train_acc 0.20000
Total # of test models:  277
val mean class acc. :  0.4045898482000456
val overall acc. :  0.5306859
val loss :  1.3154194797788348
epoch 2, step 1: train_loss 1.79007; train_acc 0.37500
epoch 2, step 2: train_loss 1.64722; train_acc 0.37500
epoch 2, step 3: train_loss 1.55509; train_acc 0.37500
epoch 2, step 4: train_loss 1.70971; train_acc 0.37500
epoch 2, step 5: train_loss 1.32163; train_acc 0.50000
epoch 2, step 6: train_loss 1.90977; train_acc 0.25000
epoch 2, step 7: train_loss 0.94466; train_acc 0.75000
epoch 2, step 8: train_loss 1.47086; train_acc 0.12500
epoch 2, step 9: train_loss 1.14629; train_acc 0.62500
epoch 2, step 10: train_loss 1.72869; train_acc 0.37500
epoch 2, step 11: train_loss 1.07642; train_acc 0.62500
epoch 2, step 12: train_loss 1.38246; train_acc 0.50000
epoch 2, step 13: train_loss 1.56032; train_acc 0.25000
epoch 2, step 14: train_loss 1.51485; train_acc 0.37500
epoch 2, step 15: train_loss 1.24222; train_acc 0.62500
epoch 2, step 16: train_loss 1.34924; train_acc 0.62500
epoch 2, step 17: train_loss 1.27693; train_acc 0.37500
epoch 2, step 18: train_loss 0.92473; train_acc 0.75000
epoch 2, step 19: train_loss 1.63542; train_acc 0.50000
epoch 2, step 20: train_loss 1.34511; train_acc 0.37500
epoch 2, step 21: train_loss 0.80699; train_acc 0.87500
epoch 2, step 22: train_loss 1.95890; train_acc 0.37500
epoch 2, step 23: train_loss 1.12364; train_acc 0.62500
epoch 2, step 24: train_loss 1.44064; train_acc 0.37500
epoch 2, step 25: train_loss 1.56381; train_acc 0.25000
epoch 2, step 26: train_loss 1.43066; train_acc 0.50000
epoch 2, step 27: train_loss 1.38592; train_acc 0.62500
epoch 2, step 28: train_loss 1.60655; train_acc 0.37500
epoch 2, step 29: train_loss 1.12754; train_acc 0.50000
epoch 2, step 30: train_loss 1.34271; train_acc 0.37500
epoch 2, step 31: train_loss 1.04801; train_acc 0.62500
epoch 2, step 32: train_loss 1.09688; train_acc 0.50000
epoch 2, step 33: train_loss 1.18460; train_acc 0.50000
epoch 2, step 34: train_loss 1.47856; train_acc 0.25000
epoch 2, step 35: train_loss 1.49402; train_acc 0.37500
epoch 2, step 36: train_loss 1.37013; train_acc 0.25000
epoch 2, step 37: train_loss 0.84933; train_acc 0.75000
epoch 2, step 38: train_loss 1.09118; train_acc 0.50000
epoch 2, step 39: train_loss 1.41702; train_acc 0.37500
epoch 2, step 40: train_loss 0.79310; train_acc 0.75000
epoch 2, step 41: train_loss 0.90886; train_acc 0.62500
epoch 2, step 42: train_loss 1.30242; train_acc 0.25000
epoch 2, step 43: train_loss 1.56158; train_acc 0.25000
epoch 2, step 44: train_loss 1.47200; train_acc 0.50000
epoch 2, step 45: train_loss 0.92699; train_acc 0.62500
epoch 2, step 46: train_loss 1.03861; train_acc 0.62500
epoch 2, step 47: train_loss 1.35729; train_acc 0.50000
epoch 2, step 48: train_loss 1.22016; train_acc 0.37500
epoch 2, step 49: train_loss 1.51532; train_acc 0.37500
epoch 2, step 50: train_loss 0.92656; train_acc 0.62500
epoch 2, step 51: train_loss 0.83438; train_acc 0.87500
epoch 2, step 52: train_loss 1.07034; train_acc 0.75000
epoch 2, step 53: train_loss 1.37142; train_acc 0.50000
epoch 2, step 54: train_loss 0.76758; train_acc 0.75000
epoch 2, step 55: train_loss 1.06684; train_acc 0.62500
epoch 2, step 56: train_loss 0.85195; train_acc 1.00000
epoch 2, step 57: train_loss 0.47202; train_acc 1.00000
epoch 2, step 58: train_loss 1.13526; train_acc 0.75000
