python train_mvcnn.py -name mvcnn -num_models 1000 -weight_decay 0.001 -num_views 12 -cnn_name vgg11
pretraining:  True
WARNING: summary folder already exists!! It will be overwritten!!
SVCNN(
  (net_1): Sequential(
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU(inplace=True)
    (2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): ReLU(inplace=True)
    (5): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (6): Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): ReLU(inplace=True)
    (8): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (9): ReLU(inplace=True)
    (10): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (11): Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (12): ReLU(inplace=True)
    (13): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (14): ReLU(inplace=True)
    (15): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (16): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (17): ReLU(inplace=True)
    (18): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (19): ReLU(inplace=True)
    (20): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (net_2): Sequential(
    (0): Linear(in_features=25088, out_features=4096, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=4096, out_features=4096, bias=True)
    (4): ReLU(inplace=True)
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=4096, out_features=11, bias=True)
  )
)
WARNING: summary folder already exists!! It will be overwritten!!
num_train_files: 3456
num_val_files: 1476
num_views 12
epoch 1, step 1: train_loss 2.59853; train_acc 0.00000
epoch 1, step 2: train_loss 2.43597; train_acc 0.12500
epoch 1, step 3: train_loss 2.61289; train_acc 0.00000
epoch 1, step 4: train_loss 3.11166; train_acc 0.00000
epoch 1, step 5: train_loss 1.95002; train_acc 0.37500
epoch 1, step 6: train_loss 2.47558; train_acc 0.00000
epoch 1, step 7: train_loss 2.26246; train_acc 0.25000
epoch 1, step 8: train_loss 2.81625; train_acc 0.12500
epoch 1, step 9: train_loss 2.25521; train_acc 0.25000
epoch 1, step 10: train_loss 2.40782; train_acc 0.12500
epoch 1, step 11: train_loss 2.91835; train_acc 0.12500
epoch 1, step 12: train_loss 2.60689; train_acc 0.25000
epoch 1, step 13: train_loss 2.03604; train_acc 0.37500
epoch 1, step 14: train_loss 2.07000; train_acc 0.25000
epoch 1, step 15: train_loss 2.38980; train_acc 0.25000
epoch 1, step 16: train_loss 2.21750; train_acc 0.12500
epoch 1, step 17: train_loss 2.09442; train_acc 0.37500
epoch 1, step 18: train_loss 1.90601; train_acc 0.37500
epoch 1, step 19: train_loss 2.29919; train_acc 0.00000
epoch 1, step 20: train_loss 1.91999; train_acc 0.25000
epoch 1, step 21: train_loss 2.00357; train_acc 0.25000
epoch 1, step 22: train_loss 1.87315; train_acc 0.50000
epoch 1, step 23: train_loss 2.16147; train_acc 0.00000
epoch 1, step 24: train_loss 2.25829; train_acc 0.37500
epoch 1, step 25: train_loss 1.89469; train_acc 0.37500
epoch 1, step 26: train_loss 1.63245; train_acc 0.62500
epoch 1, step 27: train_loss 2.17141; train_acc 0.37500
epoch 1, step 28: train_loss 1.90230; train_acc 0.37500
epoch 1, step 29: train_loss 1.79030; train_acc 0.62500
epoch 1, step 30: train_loss 1.54732; train_acc 0.75000
epoch 1, step 31: train_loss 2.05208; train_acc 0.37500
epoch 1, step 32: train_loss 2.31728; train_acc 0.25000
epoch 1, step 33: train_loss 1.76069; train_acc 0.50000
epoch 1, step 34: train_loss 2.18334; train_acc 0.37500
epoch 1, step 35: train_loss 1.61276; train_acc 0.62500
epoch 1, step 36: train_loss 2.27664; train_acc 0.25000
Total # of test models:  123
val mean class acc. :  0.4303669815033451
val overall acc. :  0.6422764
val loss :  1.5741216354072094
num_views 12
epoch 2, step 1: train_loss 1.55328; train_acc 0.50000
epoch 2, step 2: train_loss 1.87758; train_acc 0.37500
epoch 2, step 3: train_loss 1.34036; train_acc 0.62500
epoch 2, step 4: train_loss 1.67080; train_acc 0.50000
epoch 2, step 5: train_loss 1.93194; train_acc 0.37500
epoch 2, step 6: train_loss 1.47600; train_acc 0.62500
epoch 2, step 7: train_loss 1.85746; train_acc 0.25000
epoch 2, step 8: train_loss 1.62865; train_acc 0.37500
epoch 2, step 9: train_loss 1.61245; train_acc 0.62500
epoch 2, step 10: train_loss 1.46757; train_acc 0.62500
epoch 2, step 11: train_loss 1.59142; train_acc 0.75000
epoch 2, step 12: train_loss 1.64158; train_acc 0.37500
epoch 2, step 13: train_loss 1.09817; train_acc 0.75000
epoch 2, step 14: train_loss 1.73479; train_acc 0.50000
epoch 2, step 15: train_loss 1.52891; train_acc 0.62500
epoch 2, step 16: train_loss 1.96747; train_acc 0.25000
epoch 2, step 17: train_loss 1.69759; train_acc 0.50000
epoch 2, step 18: train_loss 1.77604; train_acc 0.37500
epoch 2, step 19: train_loss 1.24241; train_acc 0.50000
epoch 2, step 20: train_loss 1.36242; train_acc 0.62500
epoch 2, step 21: train_loss 1.78049; train_acc 0.37500
epoch 2, step 22: train_loss 1.55709; train_acc 0.62500
epoch 2, step 23: train_loss 1.61691; train_acc 0.62500
epoch 2, step 24: train_loss 1.61811; train_acc 0.62500
epoch 2, step 25: train_loss 1.25925; train_acc 0.50000
epoch 2, step 26: train_loss 0.57009; train_acc 0.87500
epoch 2, step 27: train_loss 1.99295; train_acc 0.37500
epoch 2, step 28: train_loss 1.13863; train_acc 0.75000
epoch 2, step 29: train_loss 1.12699; train_acc 0.75000
epoch 2, step 30: train_loss 1.10774; train_acc 0.87500
epoch 2, step 31: train_loss 1.43076; train_acc 0.75000
epoch 2, step 32: train_loss 1.10901; train_acc 0.75000
epoch 2, step 33: train_loss 1.15961; train_acc 0.75000
epoch 2, step 34: train_loss 1.36701; train_acc 0.50000
epoch 2, step 35: train_loss 1.65582; train_acc 0.50000
epoch 2, step 36: train_loss 1.46931; train_acc 0.62500
Total # of test models:  123
val mean class acc. :  0.5041322314049587
val overall acc. :  0.70731705
val loss :  1.0483791213482618
num_views 12
epoch 3, step 1: train_loss 1.12512; train_acc 0.62500
epoch 3, step 2: train_loss 1.06127; train_acc 0.75000
epoch 3, step 3: train_loss 0.67902; train_acc 0.87500
epoch 3, step 4: train_loss 1.30304; train_acc 0.87500
epoch 3, step 5: train_loss 1.18890; train_acc 0.75000
epoch 3, step 6: train_loss 1.25204; train_acc 0.62500
epoch 3, step 7: train_loss 0.85110; train_acc 0.75000
epoch 3, step 8: train_loss 1.35740; train_acc 0.75000
epoch 3, step 9: train_loss 1.31278; train_acc 0.75000
epoch 3, step 10: train_loss 0.99264; train_acc 0.75000
epoch 3, step 11: train_loss 0.82695; train_acc 0.75000
epoch 3, step 12: train_loss 1.10253; train_acc 0.62500
epoch 3, step 13: train_loss 1.56968; train_acc 0.50000
epoch 3, step 14: train_loss 1.15322; train_acc 0.50000
epoch 3, step 15: train_loss 0.58997; train_acc 1.00000
epoch 3, step 16: train_loss 0.63513; train_acc 0.87500
epoch 3, step 17: train_loss 0.80870; train_acc 0.87500
epoch 3, step 18: train_loss 0.96863; train_acc 0.75000
epoch 3, step 19: train_loss 1.24523; train_acc 0.50000
epoch 3, step 20: train_loss 1.28318; train_acc 0.50000
epoch 3, step 21: train_loss 0.86077; train_acc 0.87500
epoch 3, step 22: train_loss 1.37903; train_acc 0.75000
epoch 3, step 23: train_loss 0.85674; train_acc 0.75000
epoch 3, step 24: train_loss 1.06201; train_acc 0.75000
epoch 3, step 25: train_loss 0.74372; train_acc 0.75000
epoch 3, step 26: train_loss 0.26232; train_acc 1.00000
epoch 3, step 27: train_loss 1.46906; train_acc 0.62500
epoch 3, step 28: train_loss 0.60303; train_acc 0.75000
epoch 3, step 29: train_loss 0.81492; train_acc 0.75000
epoch 3, step 30: train_loss 0.70886; train_acc 0.75000
epoch 3, step 31: train_loss 1.46954; train_acc 0.50000
epoch 3, step 32: train_loss 1.66460; train_acc 0.50000
epoch 3, step 33: train_loss 0.36936; train_acc 1.00000
epoch 3, step 34: train_loss 1.16487; train_acc 0.75000
epoch 3, step 35: train_loss 1.44802; train_acc 0.62500
epoch 3, step 36: train_loss 0.32843; train_acc 1.00000
Total # of test models:  123
val mean class acc. :  0.6015840220385674
val overall acc. :  0.7804878
val loss :  0.6879028351977468
num_views 12
epoch 4, step 1: train_loss 0.31344; train_acc 1.00000
epoch 4, step 2: train_loss 1.28824; train_acc 0.62500
epoch 4, step 3: train_loss 0.56771; train_acc 0.87500
epoch 4, step 4: train_loss 0.47539; train_acc 1.00000
epoch 4, step 5: train_loss 0.73292; train_acc 0.75000
epoch 4, step 6: train_loss 0.83179; train_acc 0.62500
epoch 4, step 7: train_loss 0.85087; train_acc 0.87500
epoch 4, step 8: train_loss 0.69278; train_acc 0.75000
epoch 4, step 9: train_loss 0.97802; train_acc 0.62500
epoch 4, step 10: train_loss 0.99399; train_acc 0.62500
epoch 4, step 11: train_loss 1.20299; train_acc 0.62500
epoch 4, step 12: train_loss 1.40127; train_acc 0.37500
epoch 4, step 13: train_loss 0.34589; train_acc 0.87500
epoch 4, step 14: train_loss 1.49570; train_acc 0.62500
epoch 4, step 15: train_loss 0.54701; train_acc 0.75000
epoch 4, step 16: train_loss 0.72693; train_acc 0.75000
epoch 4, step 17: train_loss 0.39238; train_acc 0.87500
epoch 4, step 18: train_loss 0.85827; train_acc 0.75000
epoch 4, step 19: train_loss 0.93923; train_acc 0.75000
epoch 4, step 20: train_loss 0.56471; train_acc 0.87500
epoch 4, step 21: train_loss 0.76199; train_acc 0.75000
epoch 4, step 22: train_loss 0.50540; train_acc 0.75000
epoch 4, step 23: train_loss 0.60560; train_acc 0.75000
epoch 4, step 24: train_loss 0.37466; train_acc 0.87500
epoch 4, step 25: train_loss 0.46906; train_acc 1.00000
epoch 4, step 26: train_loss 0.43482; train_acc 0.87500
epoch 4, step 27: train_loss 0.63500; train_acc 0.87500
epoch 4, step 28: train_loss 0.48835; train_acc 0.87500
epoch 4, step 29: train_loss 1.20602; train_acc 0.62500
epoch 4, step 30: train_loss 0.65397; train_acc 0.75000
epoch 4, step 31: train_loss 0.73630; train_acc 0.75000
epoch 4, step 32: train_loss 1.08705; train_acc 0.75000
epoch 4, step 33: train_loss 0.68989; train_acc 0.62500
epoch 4, step 34: train_loss 0.61482; train_acc 0.75000
epoch 4, step 35: train_loss 1.21336; train_acc 0.50000
epoch 4, step 36: train_loss 0.14589; train_acc 1.00000
Total # of test models:  123
val mean class acc. :  0.7856060606060605
val overall acc. :  0.8943089
val loss :  0.4714716416783631
num_views 12
epoch 5, step 1: train_loss 0.64330; train_acc 0.75000
epoch 5, step 2: train_loss 1.36300; train_acc 0.50000
epoch 5, step 3: train_loss 1.04493; train_acc 0.50000
epoch 5, step 4: train_loss 0.99943; train_acc 0.37500
epoch 5, step 5: train_loss 0.33540; train_acc 1.00000
epoch 5, step 6: train_loss 0.66075; train_acc 0.75000
epoch 5, step 7: train_loss 0.69513; train_acc 0.75000
epoch 5, step 8: train_loss 0.23751; train_acc 1.00000
epoch 5, step 9: train_loss 0.28521; train_acc 1.00000
epoch 5, step 10: train_loss 0.56405; train_acc 0.87500
epoch 5, step 11: train_loss 0.31505; train_acc 1.00000
epoch 5, step 12: train_loss 0.16612; train_acc 1.00000
epoch 5, step 13: train_loss 0.73462; train_acc 0.87500
epoch 5, step 14: train_loss 1.06552; train_acc 0.62500
epoch 5, step 15: train_loss 0.45870; train_acc 0.87500
epoch 5, step 16: train_loss 0.40210; train_acc 0.87500
epoch 5, step 17: train_loss 0.68619; train_acc 0.87500
epoch 5, step 18: train_loss 0.68236; train_acc 0.75000
epoch 5, step 19: train_loss 0.39597; train_acc 0.87500
epoch 5, step 20: train_loss 0.26589; train_acc 0.87500
epoch 5, step 21: train_loss 0.16039; train_acc 1.00000
epoch 5, step 22: train_loss 1.09229; train_acc 0.62500
epoch 5, step 23: train_loss 0.47544; train_acc 0.87500
epoch 5, step 24: train_loss 0.56258; train_acc 0.87500
epoch 5, step 25: train_loss 0.58395; train_acc 0.87500
epoch 5, step 26: train_loss 0.99175; train_acc 0.75000
epoch 5, step 27: train_loss 0.70381; train_acc 0.75000
epoch 5, step 28: train_loss 0.16924; train_acc 1.00000
epoch 5, step 29: train_loss 0.43856; train_acc 0.75000
epoch 5, step 30: train_loss 0.19915; train_acc 1.00000
epoch 5, step 31: train_loss 0.04204; train_acc 1.00000
epoch 5, step 32: train_loss 0.04161; train_acc 1.00000
epoch 5, step 33: train_loss 0.68663; train_acc 0.75000
epoch 5, step 34: train_loss 0.32867; train_acc 0.87500
epoch 5, step 35: train_loss 0.57211; train_acc 0.87500
epoch 5, step 36: train_loss 0.27217; train_acc 0.87500
Total # of test models:  123
val mean class acc. :  0.8348484848484848
val overall acc. :  0.9268292
val loss :  0.34532755182590336
num_views 12
epoch 6, step 1: train_loss 0.22665; train_acc 1.00000
epoch 6, step 2: train_loss 0.33089; train_acc 0.87500
epoch 6, step 3: train_loss 0.25905; train_acc 0.87500
epoch 6, step 4: train_loss 0.18700; train_acc 1.00000
epoch 6, step 5: train_loss 0.69902; train_acc 0.62500
epoch 6, step 6: train_loss 0.37620; train_acc 0.87500
epoch 6, step 7: train_loss 0.67119; train_acc 0.87500
epoch 6, step 8: train_loss 0.56213; train_acc 0.87500
epoch 6, step 9: train_loss 0.48772; train_acc 0.87500
epoch 6, step 10: train_loss 0.32203; train_acc 0.87500
epoch 6, step 11: train_loss 0.13124; train_acc 1.00000
epoch 6, step 12: train_loss 0.18615; train_acc 1.00000
epoch 6, step 13: train_loss 0.59078; train_acc 0.87500
epoch 6, step 14: train_loss 0.35540; train_acc 0.87500
epoch 6, step 15: train_loss 0.39650; train_acc 0.87500
epoch 6, step 16: train_loss 0.51589; train_acc 0.87500
epoch 6, step 17: train_loss 0.23040; train_acc 0.87500
epoch 6, step 18: train_loss 0.08454; train_acc 1.00000
epoch 6, step 19: train_loss 0.43502; train_acc 0.75000
epoch 6, step 20: train_loss 0.19031; train_acc 1.00000
epoch 6, step 21: train_loss 0.14301; train_acc 1.00000
epoch 6, step 22: train_loss 0.28233; train_acc 1.00000
