python train_mvcnn.py -name mvcnn -num_models 1000 -weight_decay 0.001 -num_views 12 -cnn_name vgg11
pretraining:  True
SVCNN(
  (net_1): Sequential(
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU(inplace=True)
    (2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): ReLU(inplace=True)
    (5): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (6): Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): ReLU(inplace=True)
    (8): Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (9): ReLU(inplace=True)
    (10): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (11): Conv2d(256, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (12): ReLU(inplace=True)
    (13): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (14): ReLU(inplace=True)
    (15): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (16): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (17): ReLU(inplace=True)
    (18): Conv2d(512, 512, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (19): ReLU(inplace=True)
    (20): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (net_2): Sequential(
    (0): Linear(in_features=25088, out_features=4096, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=4096, out_features=4096, bias=True)
    (4): ReLU(inplace=True)
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=4096, out_features=11, bias=True)
  )
)
WARNING: summary folder already exists!! It will be overwritten!!
num_train_files: 3456
num_val_files: 1476
num_views 12
epoch 1, step 1: train_loss 2.29766; train_acc 0.12500
epoch 1, step 2: train_loss 2.97785; train_acc 0.00000
epoch 1, step 3: train_loss 2.74122; train_acc 0.00000
epoch 1, step 4: train_loss 3.14045; train_acc 0.00000
epoch 1, step 5: train_loss 1.95033; train_acc 0.37500
epoch 1, step 6: train_loss 2.61389; train_acc 0.00000
epoch 1, step 7: train_loss 2.28120; train_acc 0.00000
epoch 1, step 8: train_loss 2.43790; train_acc 0.25000
epoch 1, step 9: train_loss 2.33143; train_acc 0.12500
epoch 1, step 10: train_loss 2.22096; train_acc 0.25000
epoch 1, step 11: train_loss 2.92673; train_acc 0.00000
epoch 1, step 12: train_loss 2.80714; train_acc 0.12500
epoch 1, step 13: train_loss 2.00420; train_acc 0.25000
epoch 1, step 14: train_loss 2.12371; train_acc 0.25000
epoch 1, step 15: train_loss 2.43586; train_acc 0.25000
epoch 1, step 16: train_loss 1.90059; train_acc 0.37500
epoch 1, step 17: train_loss 2.30542; train_acc 0.25000
epoch 1, step 18: train_loss 1.99466; train_acc 0.50000
epoch 1, step 19: train_loss 1.85503; train_acc 0.25000
epoch 1, step 20: train_loss 2.04305; train_acc 0.37500
epoch 1, step 21: train_loss 1.73653; train_acc 0.50000
epoch 1, step 22: train_loss 2.00061; train_acc 0.25000
epoch 1, step 23: train_loss 2.08459; train_acc 0.37500
epoch 1, step 24: train_loss 2.19677; train_acc 0.37500
epoch 1, step 25: train_loss 1.94933; train_acc 0.37500
epoch 1, step 26: train_loss 1.90698; train_acc 0.50000
epoch 1, step 27: train_loss 2.40622; train_acc 0.25000
epoch 1, step 28: train_loss 2.03745; train_acc 0.37500
epoch 1, step 29: train_loss 1.86198; train_acc 0.50000
epoch 1, step 30: train_loss 1.80533; train_acc 0.50000
epoch 1, step 31: train_loss 2.53479; train_acc 0.25000
epoch 1, step 32: train_loss 2.33376; train_acc 0.12500
epoch 1, step 33: train_loss 1.90993; train_acc 0.37500
epoch 1, step 34: train_loss 2.52554; train_acc 0.12500
epoch 1, step 35: train_loss 1.71876; train_acc 0.50000
epoch 1, step 36: train_loss 2.29861; train_acc 0.25000
Total # of test models:  123
val mean class acc. :  0.26084710743801653
