mobject_id,mobject_label,class_id
105,Alabastron42,1
85,Alabastron24,1
98,Alabastron36,1
70,Alabastron10,1
100,Alabastron38,1
88,Alabastron27,1
80,Alabastron2,1
106,Alabastron43,1
164,Amphora49,2
869,ch658s,2
368,London_B_130,2
155,Amphora40,2
373,London_B_161,2
482,London_F_194,2
372,London_B_150,2
18,897_vcg-amphora_simplified,2
483,London_F_197,2
400,London_B_605,2
445,London_E_270,2
171,amphora_25k,2
156,Amphora41,2
426,London_E_159,12
434,London_E_219,12
440,London_E_233,12
831,Ydria_hole,12
318,Kalathos31,13
328,Kalathos40,13
325,Kalathos38,13
524,m547,13
327,Kalathos4,13
339,Kalathos50,13
329,Kalathos41,13
302,Kalathos17,13
361,London_1947-7-14-18,16
485,London_F_272,16
457,London_E_41,18
416,London_D_6,18
439,London_E_23,18
414,London_D_51,22
403,London_B_658,22
622,TSI_ENST_FR_Cp_vase_1302b_lr,22
461,London_E_437,29
454,London_E_372,29
584,Psykter42,32
564,Psykter24,32
556,Psykter17,32
574,Psykter33,32
562,Psykter22,32
582,Psykter40,32
565,Psykter25,32
225,Ark_HM_591_HI,47
209,Ark_HM_396_HI,47
497,LR_41638k_HI,47
241,Ark_HM_793_HI,47
242,Ark_HM_799_HI,47
980,qp109,48
974,qp103,48
269,CeramicTechnologies_wlgstweb,48
609,Thassos_Vaze_2,48
